0.000000000000000000e+00 0.000000000000000000e+00 6.624515149184826039e-07 2.749952702061981304e-06
1.178511661952620117e-02 4.558829923678397122e+00 4.559328940403307939e+00 8.796420120761123229e+00
2.357023338047380123e-02 9.116763258997320207e+00 9.117928424848557256e+00 1.758447534938050083e+01
3.535535000000000067e-02 1.367284815471155923e+01 1.367463559216036018e+01 2.635605672499486474e+01
4.714046661952620010e-02 1.822613007986974409e+01 1.822851857902903916e+01 3.510294384469284523e+01
5.892558338047380190e-02 2.277560730590235494e+01 2.277857774153348913e+01 4.381698565904230946e+01
7.071070000000000133e-02 2.732021984924744018e+01 2.732375147859798048e+01 5.249010627512866023e+01
8.249581661952620770e-02 3.185883669682235819e+01 3.186290618789235651e+01 6.111432158319702523e+01
9.428093338047380256e-02 3.639024298927954248e+01 3.639482416685961397e+01 6.968175583231651160e+01
1.060660500000000089e-01 4.091312795121914547e+01 4.091819179962745068e+01 7.818465804540787190e+01
1.178511666195262153e-01 4.542607419414982672e+01 4.543158897535683138e+01 8.661541891587573616e+01
1.296362833804738102e-01 4.992754751740776697e+01 4.993347895135798353e+01 9.496658620968193532e+01
1.414214000000000027e-01 5.441588778666419302e+01 5.442219927020449433e+01 1.032308795317853054e+02
1.532065166195262229e-01 5.888930144742963080e+01 5.889595429964795414e+01 1.114012052670163513e+02
1.649916333804738178e-01 6.334585476180968300e+01 6.335280848834369749e+01 1.194706698241569143e+02
1.767767500000000103e-01 6.778346830670719214e+01 6.779068087789939057e+01 1.274325920491971544e+02
1.885618666195262028e-01 7.219991324587614656e+01 7.220734138481103059e+01 1.352805155964870210e+02
2.003469833804737976e-01 7.659280843522749649e+01 7.660040791225014800e+01 1.430082194597252112e+02
2.121321000000000179e-01 8.095961885854187301e+01 8.096734478928456724e+01 1.506097275153828718e+02
2.239172166195262104e-01 8.529765586054803350e+01 8.530546300476576960e+01 1.580793178368872702e+02
2.357023333804738052e-01 8.960407821493527081e+01 8.961192127362151894e+01 1.654115300680183509e+02
2.474874499999999977e-01 9.387589448592021313e+01 9.388372839439385587e+01 1.726011716893438290e+02
2.592725666195262457e-01 9.810996710732335657e+01 9.811774732214060180e+01 1.796433239026073068e+02
2.710576833804738128e-01 1.023030172060350793e+02 1.023106999837452378e+02 1.865333455221189922e+02
2.828428000000000053e-01 1.064516305948588553e+02 1.064591732608110703e+02 1.932668756843451376e+02
2.946279166195262533e-01 1.105522653199727188e+02 1.105596265255295663e+02 1.998398360654018688e+02
3.064130333804738204e-01 1.146012597929883157e+02 1.146083997596967663e+02 2.062484311087999060e+02
3.181981500000000129e-01 1.185948419045760858e+02 1.186017226540159015e+02 2.124891470488495031e+02
3.299832666195262054e-01 1.225291394707693229e+02 1.225357250389370734e+02 2.185587503831297340e+02
3.417683833804738280e-01 1.264001910598234986e+02 1.264064476951188993e+02 2.244542844205068377e+02
3.535535000000000205e-01 1.302039575734978030e+02 1.302098539175279939e+02 2.301730646616052240e+02
3.653386166195262685e-01 1.339363349034373414e+02 1.339418421539648705e+02 2.357126736281163346e+02
3.771237333804738356e-01 1.375931667430112952e+02 1.375982587985836574e+02 2.410709539001780115e+02
