0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.540140511925948097e+01 1.540140511925990729e+01 1.540141783023297073e+01
1.178511661952620117e-02 9.821821645123537947e-02 9.824072759935417731e-02 2.452878675128561115e-01 1.540058678000440118e+01 1.540059947856989098e+01 1.540099044164356812e+01
2.357023338047380123e-02 1.963998478047047636e-01 1.964226133543819641e-01 4.904926451837532952e-01 1.539813237128598722e+01 1.539814503270479484e+01 1.539974364767373771e+01
3.535535000000000067e-02 2.944860575297529315e-01 2.945092369981397451e-01 7.355313613396110561e-01 1.539404373050846786e+01 1.539405633026914977e+01 1.539765647047596353e+01
4.714046661952620010e-02 3.924294093520116489e-01 3.924531483373900342e-01 9.803213063469318200e-01 1.538832395342677728e+01 1.538833646739590222e+01 1.539471518639285641e+01
5.892558338047380190e-02 4.901827333642754803e-01 4.902071600799080553e-01 1.224780148422651482e+00 1.538097744418085533e+01 1.538098984875133723e+01 1.539090069625055079e+01
7.071070000000000133e-02 5.876992002735217380e-01 5.877244235896325053e-01 1.468826047172637095e+00 1.537200998516475359e+01 1.537202225740148975e+01 1.538618863828454053e+01
8.249581661952620770e-02 6.849323978069702390e-01 6.849585066516903353e-01 1.712377790445796411e+00 1.536142882496995554e+01 1.536144094275227800e+01 1.538054953106616018e+01
9.428093338047380256e-02 7.818363863568702499e-01 7.818634501913712676e-01 1.955354900961773224e+00 1.534924278531801178e+01 1.534925472747871389e+01 1.537394894596738659e+01
1.060660500000000089e-01 8.783657426552909930e-01 8.783938127044674804e-01 2.197677738555315674e+00 1.533546238580910703e+01 1.533547413227002920e+01 1.536634770747329704e+01
1.178511666195262153e-01 9.744756000956362740e-01 9.745047110507516486e-01 2.439267623488459158e+00 1.532009998378051741e+01 1.532011151568497809e+01 1.535770211862228152e+01
1.296362833804738102e-01 1.070121663096682774e+00 1.070151835068051449e+00 2.680046927715041161e+00 1.530316993082040078e+01 1.530318123066300728e+01 1.534796421103060737e+01
1.414214000000000027e-01 1.165260204572901914e+00 1.165291445140371529e+00 2.919939159967362752e+00 1.528468874382796372e+01 1.528469979558299663e+01 1.533708201693177386e+01
1.532065166195262229e-01 1.259848055389592769e+00 1.259880361650870251e+00 3.158869069951142361e+00 1.526467528701883403e+01 1.526468607626835627e+01 1.532499985960663835e+01
1.649916333804738178e-01 1.353842563993118642e+00 1.353875924554597932e+00 3.396762719160866695e+00 1.524315096706688522e+01 1.524316148113047653e+01 1.531165866188352709e+01
1.767767500000000103e-01 1.447201535779157444e+00 1.447235932657933377e+00 3.633547544174102750e+00 1.522013993837953727e+01 1.522015016644779628e+01 1.529699626947465418e+01
1.885618666195262028e-01 1.539883161528464051e+00 1.539918571951073734e+00 3.869152437515818832e+00 1.519566931406295041e+01 1.519567924733712694e+01 1.528094778481304417e+01
2.003469833804737976e-01 1.631845914192071145e+00 1.631882312283778669e+00 4.103507794416763943e+00 1.516976938541080777e+01 1.516977901725125122e+01 1.526344591165200626e+01
2.121321000000000179e-01 1.723048424242509480e+00 1.723085782603412941e+00 4.336545551270488907e+00 1.514247384604992419e+01 1.514248317213592365e+01 1.524442130674753670e+01
2.239172166195262104e-01 1.813449343536028380e+00 1.813487634699913587e+00 4.568199240645805403e+00 1.511382001549922727e+01 1.511382903400239464e+01 1.522380293376509108e+01
2.357023333804738052e-01 1.903007178342892125e+00 1.903046376112746074e+00 4.798404012158196785e+00 1.508384906557272132e+01 1.508385777734523181e+01 1.520151842062761638e+01
2.474874499999999977e-01 1.991680102583919920e+00 1.991720183235359043e+00 5.027096644896557720e+00 1.505260624490119881e+01 1.505261465367854257e+01 1.517749441636464347e+01
2.592725666195262457e-01 2.079425761999466271e+00 2.079466705340115684e+00 5.254215575982221331e+00 1.502014109554603749e+01 1.502014920816101018e+01 1.515165694223548698e+01
2.710576833804738128e-01 2.166201051569835112e+00 2.166242841841018674e+00 5.479700895685808426e+00 1.498650766562813352e+01 1.498651549222886814e+01 1.512393173964314386e+01
2.828428000000000053e-01 2.251961878205154477e+00 2.252004504809949736e+00 5.703494334626711293e+00 1.495176471235869009e+01 1.495177226661748193e+01 1.509424461076771706e+01
2.946279166195262533e-01 2.336662920360395468e+00 2.336706378402684692e+00 5.925539267294444912e+00 1.491597588864618551e+01 1.491598318793866440e+01 1.506252174642106745e+01
3.064130333804738204e-01 2.420257368810684984e+00 2.420301659431018937e+00 6.145780683557727109e+00 1.487920991752548083e+01 1.487921698305065910e+01 1.502869004523482310e+01
3.181981500000000129e-01 2.502696661699457259e+00 2.502741792196196080e+00 6.364165153437837397e+00 1.484154074784497901e+01 1.484154760464848621e+01 1.499267742003834947e+01
3.299832666195262054e-01 2.583930226526351515e+00 2.583976210256048400e+00 6.580640808978793110e+00 1.480304768355163247e+01 1.480305436040848654e+01 1.495441308569467331e+01
3.417683833804738280e-01 2.663905215406428884e+00 2.663952071463496551e+00 6.795157296211060682e+00 1.476381549091755296e+01 1.476382202003139277e+01 1.491382783433294534e+01
3.535535000000000205e-01 2.742566247819790082e+00 2.742614000502246352e+00 7.007665722148604281e+00 1.472393447613115036e+01 1.472394089261763028e+01 1.487085429375615142e+01
3.653386166195262685e-01 2.819855174480438986e+00 2.819903852558006907e+00 7.218118620162948140e+00 1.468350052474671230e+01 1.468350686589205623e+01 1.482542716303685282e+01
3.771237333804738356e-01 2.895710850783906665e+00 2.895760486591484106e+00 7.426469888126470131e+00 1.464261510722632309e+01 1.464262141154575758e+01 1.477748343323578695e+01
3.889088500000000281e-01 2.970068934978213893e+00 2.970119563365837045e+00 7.632674723827636676e+00 1.460138524203027899e+01 1.460139154818860874e+01 1.472696258888168153e+01
4.006939666195262206e-01 3.042861725357740355e+00 3.042913382533245503e+00 7.836689580419188061e+00 1.455992340707093469e+01 1.455992975275694867e+01 1.467380678390462911e+01
4.124790833804738432e-01 3.114018026829169727e+00 3.114070749133895699e+00 8.038472097727911603e+00 1.451834740364510168e+01 1.451835382450299861e+01 1.461796100206677451e+01
4.242642000000000357e-01 3.183463062396693743e+00 3.183516885055720724e+00 8.237981033381441165e+00 1.447678016369436094e+01 1.447678669240407778e+01 1.455937319728685253e+01
4.360493166195262282e-01 3.251118443831293003e+00 3.251173399718368717e+00 8.435176215828160906e+00 1.443534949106430076e+01 1.443535615663299154e+01 1.449799440713563570e+01
4.478344333804737953e-01 3.316902193075544680e+00 3.316958311529987657e+00 8.630018476535902039e+00 1.439418774111376287e+01 1.439419456840174938e+01 1.443377885172377262e+01
4.596195500000000433e-01 3.380728829260141843e+00 3.380786134987780134e+00 8.822469584662714581e+00 1.435343142973081143e+01 1.435343843917166851e+01 1.436668401306119236e+01
4.714046666195261803e-01 3.442509534237533142e+00 3.442568046321676345e+00 9.012492205482629970e+00 1.429667068695050069e+01 1.431322076348825156e+01 1.431322797135248948e+01
4.831897833804738585e-01 3.502152388043143549e+00 3.502212119085112985e+00 9.200049841316829458e+00 1.422370302472213943e+01 1.427369909588910346e+01 1.427370651369841603e+01
4.949748999999999954e-01 3.559562686683111821e+00 3.559623642084968953e+00 9.385106777485727747e+00 1.414774855313942936e+01 1.423501230378472115e+01 1.423501993920363695e+01
5.067600166195261879e-01 3.614643351707178986e+00 3.614705529103577675e+00 9.567628053663314702e+00 1.406877817239122130e+01 1.419730807680289253e+01 1.419731593365460753e+01
5.185451333804738105e-01 3.667295420769454584e+00 3.667358809609703396e+00 9.747579420850762233e+00 1.398676614285062136e+01 1.416073512942071133e+01 1.416074320805102360e+01
5.303302500000000030e-01 3.717418626588413488e+00 3.717483207865947215e+00 9.924927305595955929e+00 1.390169005713060635e+01 1.412544233214117462e+01 1.412545062977837773e+01
5.421153666195263066e-01 3.764912067643711779e+00 3.764977813766622106e+00 1.009963880083675924e+01 1.381353078820760771e+01 1.409157776165492315e+01 1.409158627277326659e+01
5.539004833804738182e-01 3.809674955161325816e+00 3.809741829955040071e+00 1.027168164505403070e+01 1.372227243245538908e+01 1.405928768355164671e+01 1.405929640022965721e+01
5.656856000000000106e-01 3.851607436163758447e+00 3.851675394995812240e+00 1.044102421037241690e+01 1.362790224071809142e+01 1.402871547130409979e+01 1.402872438357048779e+01
5.774707166195262031e-01 3.890611487357737097e+00 3.890680477373538615e+00 1.060763551789280257e+01 1.353041052793214227e+01 1.400000046906317586e+01 1.400000956522531936e+01
5.892558333804738258e-01 3.926591858009023106e+00 3.926661818467011678e+00 1.077148524342171143e+01 1.342979058223951583e+01 1.397327681857091086e+01 1.397328608552162166e+01
6.010409500000000182e-01 3.959457052496732299e+00 3.959527915192114556e+00 1.093254373316313988e+01 1.332603856583919288e+01 1.394867226213158418e+01 1.394868168563057687e+01
6.128260666195262107e-01 3.989120338108643526e+00 3.989192027874709723e+00 1.109078204648941934e+01 1.321915339714484894e+01 1.392630693764865590e+01 1.392631650257563614e+01
6.246111833804738334e-01 4.015500750470624602e+00 4.015573185747416396e+00 1.124617199045879978e+01 1.310913663726756795e+01 1.390629219207257172e+01 1.390630188264930034e+01
6.363963000000000259e-01 4.038524079738444073e+00 4.038597173199623747e+00 1.139868616450874406e+01 1.299599237208761160e+01 1.388872943200208354e+01 1.388873923198118199e+01
6.481814166195262183e-01 4.058123816736706857e+00 4.058197475965619638e+00 1.154829803122110832e+01 1.287972707846349429e+01 1.387370903318532456e+01 1.387371892600496537e+01
6.599665333804738410e-01 4.074242030113018664e+00 4.074316158319921222e+00 1.169498197936913009e+01 1.276034949960090437e+01 1.386130933689154965e+01 1.386131930579600358e+01
6.717516500000000335e-01 4.086830155510694951e+00 4.086904652283754658e+00 1.183871339649498999e+01 1.263787051977438303e+01 1.385159575340040128e+01 1.385160578152778754e+01
6.835367666195262260e-01 4.095849676180417731e+00 4.095924438263692124e+00 1.197946876566322238e+01 1.251230302586628618e+01 1.384461999360373063e+01 1.384463006404416952e+01
6.953218833804738486e-01 4.101272672447100476e+00 4.101347594538796493e+00 1.211722575417717884e+01 1.238366178268645257e+01 1.384041945069467516e+01 1.384042954652332647e+01
7.071070000000000411e-01 4.103082226826159307e+00 4.103157202391326308e+00 1.225195685446117366e+01 1.225196976696804008e+01 1.383901674591378672e+01 1.383902685020483503e+01
7.154403359787412375e-01 4.102833796618474693e+00 4.107674399349329875e+00 1.225004991716902758e+01 1.225114581172984529e+01 1.383932223681754969e+01 1.384010084081133662e+01
7.237736717574824175e-01 4.101977070285254712e+00 4.121290348667144166e+00 1.224434233673915351e+01 1.224868395605081162e+01 1.384022339425422388e+01 1.384331944996679731e+01
7.321070077362237249e-01 4.100548674204401500e+00 4.143828688508860658e+00 1.223489141392437141e+01 1.224459560517257373e+01 1.384172434955682895e+01 1.384862355617833529e+01
7.404403437149650324e-01 4.098548465453916378e+00 4.175061523164377952e+00 1.222178623662704666e+01 1.223890292503120136e+01 1.384382371516363897e+01 1.385592623928360467e+01
7.487736794937062124e-01 4.095976052529652023e+00 4.214679760425611654e+00 1.220514492603881251e+01 1.223163714933854962e+01 1.384651952981192657e+01 1.386511241116323312e+01
7.571070154724475199e-01 4.092830914988836000e+00 4.262301811105581706e+00 1.218510900703233624e+01 1.222283876014336990e+01 1.384980927527746353e+01 1.387604442787386283e+01
7.654403514511887163e-01 4.089112416669414607e+00 4.317483691471962537e+00 1.216183730316710587e+01 1.221255773127293054e+01 1.385368988122335487e+01 1.388856818094389389e+01
7.737736872299298962e-01 4.084819809917481059e+00 4.379729767144115549e+00 1.213549989216302549e+01 1.220085382491092219e+01 1.385815773042648047e+01 1.390251912404575663e+01
7.821070232086710927e-01 4.079952238432666078e+00 4.448503491247783437e+00 1.210627254681755005e+01 1.218779694096879496e+01 1.386320866493426607e+01 1.391772781045975549e+01
7.904403591874124002e-01 4.074508741113993082e+00 4.523237582229177711e+00 1.207433194614953109e+01 1.217346752116949737e+01 1.386883799198003864e+01 1.393402466007662532e+01
7.987736949661535801e-01 4.068488255305271473e+00 4.603343263346550529e+00 1.203985177974609933e+01 1.215795700035016758e+01 1.387504049159812247e+01 1.395124382762247706e+01
8.071070309448948876e-01 4.061889620123213085e+00 4.688218289163393671e+00 1.200299976611004027e+01 1.214136830292337521e+01 1.388181042527193298e+01 1.396922615313551397e+01
8.154403669236360841e-01 4.054711581495761052e+00 4.777253606186144808e+00 1.196393552747963973e+01 1.212381638255596172e+01 1.388914154394116274e+01 1.398782125686605582e+01
8.237737027023773750e-01 4.046952796310042899e+00 4.869838662285226327e+00 1.192280919130096351e+01 1.210542878956313828e+01 1.389702709802433311e+01 1.400688890100557948e+01
8.321070386811185715e-01 4.038611836651353926e+00 4.965365416411033905e+00 1.187976058981961103e+01 1.208634625645605887e+01 1.390545984839168980e+01 1.402629974969805104e+01
8.404403746598598790e-01 4.029687196111899183e+00 5.063231154069825379e+00 1.183491893335728662e+01 1.206672328908844172e+01 1.391443207625169975e+01 1.404593565746112915e+01
8.487737104386011699e-01 4.020177294807508517e+00 5.162840315024883608e+00 1.178840281749760166e+01 1.204672873253074528e+01 1.392393559532877667e+01 1.406568961633505488e+01
8.571070464173423664e-01 4.010080484450177174e+00 5.263605501269436715e+00 1.174032046870006241e+01 1.202654628536265591e+01 1.393396176488638893e+01 1.408546546124587451e+01
8.654403823960836739e-01 3.999395055833015356e+00 5.364947837070565662e+00 1.169077015612597492e+01 1.200637492850625598e+01 1.394450150121648058e+01 1.410517741252683699e+01
8.737737181748248538e-01 3.988119244606030733e+00 5.466296918652217229e+00 1.163984068540137429e+01 1.198642921156909047e+01 1.395554529166808244e+01 1.412474952842076270e+01
8.821070541535661613e-01 3.976251237064346356e+00 5.567090521930508906e+00 1.158761193611156592e+01 1.196693934176946783e+01 1.396708320940230053e+01 1.414411511085090645e+01
8.904403901323074688e-01 3.963789178687651127e+00 5.666774229192253820e+00 1.153415542112133174e+01 1.194815100892126480e+01 1.397910492617278067e+01 1.416321609411122751e+01
8.987737259110486487e-01 3.950731180544651444e+00 5.764801194720098110e+00 1.147953482286369997e+01 1.193032485559713152e+01 1.399159972786786810e+01 1.418200244794140374e+01
9.071070618897899562e-01 3.937075325661719916e+00 5.860632195163985259e+00 1.142380650242338014e+01 1.191373550520918734e+01 1.400455653065091965e+01 1.420043160530556925e+01
9.154403978685312637e-01 3.922819678480425232e+00 5.953736102991486590e+00 1.136701998552284465e+01 1.189867005318987658e+01 1.401796389469883941e+01 1.421846791950739863e+01
9.237737336472724436e-01 3.907962291747417272e+00 6.043590971302180925e+00 1.130921839786708105e+01 1.188542591475295573e+01 1.403181004090143702e+01 1.423608216291168027e+01
9.321070696260138622e-01 3.892501213316260866e+00 6.129685833138018403e+00 1.125043886024263173e+01 1.187430794368157549e+01 1.404608286802614181e+01 1.425325106406361719e+01
9.404404056047550586e-01 3.876434496377215932e+00 6.211523293189896933e+00 1.119071285768162127e+01 1.186562475449021647e+01 1.406076996707401783e+01 1.426995687860679674e+01
9.487737413834963496e-01 3.859760206680236561e+00 6.288623003752379148e+00 1.113006656029782171e+01 1.185968420788500843e+01 1.407585863877442023e+01 1.428618699929122648e+01
