0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.533181144546375130e+01 1.533202121485770775e+01 1.533203398273262330e+01
1.178511661952620117e-02 9.866413584390114344e-02 9.972973576956868647e-02 2.432765180079047296e-01 1.533118277607730207e+01 1.533119696165666745e+01 1.533140271636016294e+01
2.357023338047380123e-02 1.978273655809978104e-01 1.988922374410295180e-01 4.864756445016374387e-01 1.532866848852852293e+01 1.532868630994283521e+01 1.533017380219976111e+01
3.535535000000000067e-02 2.969173622432343951e-01 2.979810405488843572e-01 7.295201031536406866e-01 1.532448096226577761e+01 1.532450364233899087e+01 1.532811665244693522e+01
4.714046661952620010e-02 3.958980967714409438e-01 3.969601090854514291e-01 9.723327959983286695e-01 1.531862403780742277e+01 1.531865225213307369e+01 1.532521786799796182e+01
5.892558338047380190e-02 4.947332490393873683e-01 4.957931243219351192e-01 1.214836907546295253e+00 1.531110288984687884e+01 1.531113707302309024e+01 1.532145880152548223e+01
7.071070000000000133e-02 5.933864778364079662e-01 5.944437478879383008e-01 1.456955985469437609e+00 1.530192417596144594e+01 1.530196465918912097e+01 1.531681566008274764e+01
8.249581661952620770e-02 6.918214631407684223e-01 6.928756633641253160e-01 1.698614046462186833e+00 1.529109615580100723e+01 1.529114322422780603e+01 1.531125963887351737e+01
9.428093338047380256e-02 7.900019007584128117e-01 7.910525707602860113e-01 1.939735653239179403e+00 1.527862880421400860e+01 1.527868272055534149e+01 1.530475708290459025e+01
1.060660500000000089e-01 8.878914810598196317e-01 8.889381651933524475e-01 2.180245988356438236e+00 1.526453393111284562e+01 1.526459494448373810e+01 1.529726967488123179e+01
1.178511666195262153e-01 9.854538654958239219e-01 9.864961133875130850e-01 2.420070950271612009e+00 1.524882531102755401e+01 1.524889365886519776e+01 1.528875464679001794e+01
1.296362833804738102e-01 1.082652639670146355e+00 1.083690006770404501e+00 2.659137219092805982e+00 1.523151882631119669e+01 1.523159473292007959e+01 1.527916501478252265e+01
1.414214000000000027e-01 1.179451252975080022e+00 1.180483301175209165e+00 2.897372317834427946e+00 1.521263262297657448e+01 1.521271629641357670e+01 1.526844983499068142e+01
1.532065166195262229e-01 1.275812954416800205e+00 1.276839252784174983e+00 3.134704694446630580e+00 1.519218727614259556e+01 1.519227890434207140e+01 1.525655447687723765e+01
1.649916333804738178e-01 1.371700702926386350e+00 1.372720828618122280e+00 3.371063772642787892e+00 1.517020596779880748e+01 1.517030571443777909e+01 1.524342091398542287e+01
1.767767500000000103e-01 1.467077062226492368e+00 1.468090601649482796e+00 3.606379997312828323e+00 1.514671467420527229e+01 1.514682267460200293e+01 1.522898802908686378e+01
1.885618666195262028e-01 1.561904090140312729e+00 1.562910640430188014e+00 3.840584899582025091e+00 1.512174235874689643e+01 1.512185871597214515e+01 1.521319192964549671e+01
