metodoa,supergelaxka_tamaina,denbora_s
DFPT,2x2x2,104.54
DFPT,3x3x3,320.52
DFPT,4x4x4,732.69
DFPT,6x6x6,2411.84
DF,2x2x2,314.57
DF,3x3x3,4682.11
DF,4x4x4,26311.45
DF,6x6x6,174840.0
DF_HSE,2x2x2,1329600.0
