metodoa,supergelaxka_tamaina,denbora_s
DFPT,2x2x1,188.72
DFPT,4x4x1,816.46
DFPT,7x7x1,1822.62
DF,2x2x1,738.35
DF,4x4x1,5758.35
DF,7x7x1,45110.34
