# Convergencia k-grid — ecutwfc: 50.0 Ry   umbral: 0.1 mRy
# Si FCC diamante, a=5.431 A, conv_thr SCF: 1e-9 Ry
#
# k-grid       E_total(Ry)            |ΔE|(mRy)       <umbral?   consec
2x2x2        -15.57499793             ---            ---          primero
4x4x4        -15.74862953             173.63160      NO           0/5
6x6x6        -15.76068639             12.05686       NO           0/5
8x8x8        -15.76216325             1.47686        NO           0/5
10x10x10     -15.76239675             0.23350        NO           0/5
12x12x12     -15.76243967             0.04292        SI           1/5
14x14x14     -15.76244846             0.00879        SI           2/5
16x16x16     -15.76245037             0.00191        SI           3/5
18x18x18     -15.76245081             0.00044        SI           4/5
20x20x20     -15.76245092             0.00011        SI           5/5
