0.000000000000000000e+00 2.643687704040951992e-06 4.272604135654514893e-06 4.356690966223951052e-06
1.178511661952620117e-02 4.301955709322939470e+00 4.301955709323630472e+00 9.635399314767715495e+00
2.357023338047380123e-02 8.613588087776932412e+00 8.613588087777330315e+00 1.925966263333602768e+01
3.535535000000000067e-02 1.294421581100474405e+01 1.294421581100489149e+01 2.886164297316624072e+01
4.714046661952620010e-02 1.730245692560981396e+01 1.730245692561002002e+01 3.843017422859601595e+01
5.892558338047380190e-02 2.169591448967446823e+01 2.169591448967461389e+01 4.795406554346381256e+01
7.071070000000000133e-02 2.613090283222197385e+01 2.613090283222197741e+01 5.742210084718509933e+01
8.249581661952620770e-02 3.061222414721600416e+01 3.061222414721607876e+01 6.682304598229542592e+01
9.428093338047380256e-02 3.514300066035150394e+01 3.514300066035153236e+01 7.614566252075582042e+01
1.060660500000000089e-01 3.972456587579885223e+01 3.972456587579891618e+01 8.537873017541281229e+01
1.178511666195262153e-01 4.435641548773290310e+01 4.435641548773297416e+01 9.451107932255254696e+01
1.296362833804738102e-01 4.903621448603215072e+01 4.903621448603222177e+01 1.035316317901787215e+02
1.414214000000000027e-01 5.375985637932696903e+01 5.375985637932706851e+01 1.124294507480463494e+02
1.532065166195262229e-01 5.852156900553814722e+01 5.852156900553818275e+01 1.211938000793343377e+02
1.649916333804738178e-01 6.331405892111891376e+01 6.331405892111894929e+01 1.298142103579830859e+02
1.767767500000000103e-01 6.812868740302913295e+01 6.812868740302923243e+01 1.382805511806762695e+02
1.885618666195262028e-01 7.295567106028229887e+01 7.295567106028234150e+01 1.465831091830377773e+02
2.003469833804737976e-01 7.778429871383710292e+01 7.778429871383724503e+01 1.547126680471006068e+02
2.121321000000000179e-01 8.260315818537958421e+01 8.260315818537966948e+01 1.626605894316504930e+02
2.239172166195262104e-01 8.740036720109968371e+01 8.740036720109972634e+01 1.704188934558025039e+02
2.357023333804738052e-01 9.216380166456858092e+01 9.216380166456863776e+01 1.779803346748997228e+02
2.474874499999999977e-01 9.688131676311903107e+01 9.688131676311903107e+01 1.853384721394287169e+02
2.592725666195262457e-01 1.015409569826025376e+02 1.015409569826025518e+02 1.924877319956887334e+02
2.710576833804738128e-01 1.061311501717494821e+02 1.061311501717495247e+02 1.994234587872174984e+02
2.828428000000000053e-01 1.106408829378959098e+02 1.106408829378959382e+02 2.061419542930782711e+02
2.946279166195262533e-01 1.150598551595700059e+02 1.150598551595700343e+02 2.126405027965198826e+02
3.064130333804738204e-01 1.193786104618993562e+02 1.193786104618993846e+02 2.189173797892326547e+02
3.181981500000000129e-01 1.235886415380070673e+02 1.235886415380070957e+02 2.249718437887871971e+02
3.299832666195262054e-01 1.276824696413143130e+02 1.276824696413143272e+02 2.308041111778144341e+02
3.417683833804738280e-01 1.316536967205665860e+02 1.316536967205665860e+02 2.364153124673798914e+02
3.535535000000000205e-01 1.354970306334627139e+02 1.354970306334627423e+02 2.418074309865645830e+02
3.653386166195262685e-01 1.392082843159321044e+02 1.392082843159321328e+02 2.469832253386601337e+02
3.771237333804738356e-01 1.427843490764849435e+02 1.427843490764849719e+02 2.519461357459876183e+02
3.889088500000000281e-01 1.462231440590473142e+02 1.462231440590473142e+02 2.567001768120162524e+02
4.006939666195262206e-01 1.495235443460751128e+02 1.495235443460751128e+02 2.612498195451808556e+02
4.124790833804738432e-01 1.526852895702782291e+02 1.526852895702782860e+02 2.655998643933374410e+02
4.242642000000000357e-01 1.557088765802023715e+02 1.557088765802024284e+02 2.697553090827468623e+02
4.360493166195262282e-01 1.585954400064475180e+02 1.585954400064475465e+02 2.737212151702558458e+02
4.478344333804737953e-01 1.613466239280233765e+02 1.613466239280234333e+02 2.775025760453079329e+02
4.596195500000000433e-01 1.639644491365511101e+02 1.639644491365511954e+02 2.811041906335968861e+02
4.714046666195261803e-01 1.664511804919951601e+02 1.664511804919952169e+02 2.845305468099321615e+02
4.831897833804738585e-01 1.688091979849520214e+02 1.688091979849520783e+02 2.877857171337669797e+02
4.949748999999999954e-01 1.710408758726763097e+02 1.710408758726763949e+02 2.908732704327314877e+02
5.067600166195261879e-01 1.731484738156173648e+02 1.731484738156173933e+02 2.937962021195243096e+02
5.185451333804738105e-01 1.751340427380283131e+02 1.751340427380283700e+02 2.965568845204043100e+02
