metodoa,supergelaxka_tamaina,denbora_s
DFPT,2x2x2,60.39
DFPT,3x3x3,211.86
DFPT,4x4x4,518.51
DFPT,6x6x6,2199.78
DF,2x2x2,185.25
DF,3x3x3,1400.96
DF,4x4x4,7936.88
DF,6x6x6,63480.0
