metodoa,supergelaxka_tamaina,denbora_s
DFPT,2x2x2,29.3
DFPT,3x3x3,87.71
DFPT,4x4x4,213.32
DFPT,6x6x6,842.14
DF,2x2x2,335.31
DF,3x3x3,3029.34
DF,4x4x4,10904.06
DF,6x6x6,203280.0
